TIME,TIMECORR,CADENCENO,SAP_FLUX,SAP_FLUX_ERR,SAP_BKG,SAP_BKG_ERR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,QUALITY,PSF_CENTR1,PSF_CENTR1_ERR,PSF_CENTR2,PSF_CENTR2_ERR,MOM_CENTR1,MOM_CENTR1_ERR,MOM_CENTR2,MOM_CENTR2_ERR,POS_CORR1,POS_CORR2
3285.833835538473,0.0042453697,1482030,1.2563836E7,379.72498,50023.59,56.565186,1.2579451E7,383.4616,0,,,,,710.1581394194844,2.7641636E-5,1196.3413708149708,4.218298E-4,-0.014149283,0.028136887
3285.835224451407,0.0042453944,1482031,1.2563883E7,379.72995,50100.867,56.555542,1.2569961E7,383.4666,0,,,,,710.1592768735736,2.7648983E-5,1196.3371801397104,4.217501E-4,-0.013191025,0.02610548
3285.836613364341,0.004245419,1482032,1.2563461E7,379.71426,50014.203,56.507225,1.2573328E7,383.45074,0,,,,,710.1572474669201,2.7650978E-5,1196.3394353976648,4.2170894E-4,-0.01503547,0.028236188
3285.838002277276,0.0042454437,1482033,1.2561397E7,379.70718,50168.93,56.65719,1.2584745E7,383.4436,0,,,,,710.1618210536259,2.7669403E-5,1196.3342948494635,4.2125216E-4,-0.010847364,0.024056936
3285.839391190211,0.0042454684,1482034,1.256177E7,379.70233,50078.477,56.621704,1.2587329E7,383.43872,0,,,,,710.1563182594983,2.767801E-5,1196.335418970091,4.2110906E-4,-0.015523789,0.02221556
3285.840780103145,0.004245493,1482035,1.2563646E7,379.73123,50056.816,56.59526,1.2573358E7,383.4679,0,,,,,710.1555021511583,2.766218E-5,1196.3359613030734,4.2152838E-4,-0.01724966,0.025605835
3285.8421690156138,0.0042455173,1482036,1.2564335E7,379.74774,49981.56,56.653355,1.2571106E7,383.4846,0,,,,,710.1596854227281,2.7648464E-5,1196.3386813872432,4.217091E-4,-0.01229803,0.028472295
3285.8435579285488,0.004245542,1482037,1.2564365E7,379.74628,50045.855,56.623253,1.2578747E7,383.4831,0,,,,,710.154941740053,2.764426E-5,1196.3300563193961,4.218879E-4,-0.017242493,0.022224205
3285.8449468414838,0.0042455667,1482038,1.2564597E7,379.74985,50032.418,56.6422,1.2554159E7,383.4867,0,,,,,710.161748241693,2.7637072E-5,1196.3351049784444,4.218942E-4,-0.010611723,0.024700984
3285.846335754418,0.0042455913,1482039,1.2564302E7,379.72882,50063.703,56.53805,1.2577433E7,383.46542,0,,,,,710.1568870194868,2.76391E-5,1196.3382660105128,4.2193968E-4,-0.015898863,0.025953334
3285.847724667353,0.004245616,1482040,1.256458E7,379.7429,50171.855,56.595222,1.2569349E7,383.4797,0,,,,,710.1571398896185,2.7646614E-5,1196.3356074642948,4.2177382E-4,-0.015809635,0.027018799
3285.849113579822,0.0042456402,1482041,1.2563444E7,379.72696,50122.555,56.58358,1.2576454E7,383.4636,0,,,,,710.1611891236325,2.764331E-5,1196.3337697077247,4.2181063E-4,-0.011314601,0.024837183
3285.8505024927563,0.004245665,1482042,1.2562711E7,379.72076,50121.074,56.61498,1.259238E7,383.4573,0,,,,,710.1563384760968,2.7656797E-5,1196.334773058096,4.2158965E-4,-0.015750913,0.024465749
3285.8518914056904,0.0042456896,1482043,1.256435E7,379.74377,50195.656,56.614132,1.2586917E7,383.48056,0,,,,,710.1569713224322,2.7646129E-5,1196.333358757981,4.2177757E-4,-0.015639184,0.023995683
3285.8532803186254,0.0042457143,1482044,1.2564267E7,379.73392,50063.46,56.560066,1.2566117E7,383.4706,0,,,,,710.1562411940172,2.7634771E-5,1196.3380042394454,4.2199568E-4,-0.015871974,0.028184071
3285.8546692310947,0.0042457385,1482045,1.2565269E7,379.7541,50064.137,56.60772,1.2568171E7,383.49097,0,,,,,710.1590556585127,2.7635255E-5,1196.3278469881373,4.2191648E-4,-0.013354774,0.020112455
